Orderdate,Continueddate,ITCcaseNo,DOCNo,ADCVD,ReviewSequenceGroupNo,ProductGroup,Product,Country,Column2,Column3,FedReg,Pubdate,Link,Column1,Column12,active
2002/5/23,2019/6/12,A-930,A-834-807,A,106,MM,Silicomanganese,Kazakhstan,,,84 FR 27243, 6/12/2019,https://www.govinfo.gov/content/pkg/FR-2019-06-12/pdf/2019-12394.pdf,,,1
2001/9/7,2018/12/17,A-879,A-841-804,A,92,ISM,Steel concrete reinforcing bar,Moldova,,,83 FR 64530,12/17/2018,https://www.govinfo.gov/content/pkg/FR-2018-12-17/pdf/2018-27239.pdf,,,1
2002/10/29,2014/7/3,A-959,A-841-805,A,110,ISM,Carbon steel wire rod,Moldova,,,85 FR 52953, 8/27/2020,https://www.govinfo.gov/content/pkg/FR-2020-08-27/pdf/2020-18900.pdf,,,1
2000/6/26,2006/5/11,A-846,A-851-802,A,,ISP,"Small diameter carbon & alloy seamless standard, line, and pressure pipe",Czech Republic,,,,,,,,0
2002/5/22,2006/10/19,C-414,C-122-839,C,105,AG,Softwood lumber,Canada,,,,,,,,0
2003/10/23,2006/2/16,C-430,C-122-848,C,,AG,Hard red spring wheat,Canada,,,,,,,,0
2015/12/10,2015/8/3,C-530,C-122-854,C,211,MSC,Supercalendered Paper ,Canada,,,83 FR 32268, 7/12/2018,https://www.gpo.gov/fdsys/pkg/FR-2018-07-12/pdf/2018-14921.pdf,,,0
2018/1/3,,C-566,C-122-858,C,240,AG,Softwood Lumber Products,Canada,,,83 FR 347,  1/3/2018,https://www.gpo.gov/fdsys/pkg/FR-2018-01-03/pdf/2017-28483.pdf,,,1
2020/8/20,,C-627,C-122-868,C,282,ME,Utility Scale Wind Towers,Canada ,,,85 FR 52546, 8/26/2020,https://www.govinfo.gov/content/pkg/FR-2020-08-26/pdf/2020-18792.pdf,,,1
1999/7/6,2011/5/26,C-384,C-351-829,C,24,ISM,Hot-rolled carbon steel flat products,Brazil,,,76 FR 36081, 6/21/2011,,,,0
2002/10/22,2014/7/3,C-417,C-351-833,C,110,ISM,Carbon steel wire rod,Brazil,,,85 FR 52953, 8/27/2020,https://www.govinfo.gov/content/pkg/FR-2020-08-27/pdf/2020-18900.pdf,,,1
2016/9/20,,C-540,C-351-844,C,218,ISM,Cold-Rolled Steel Flat Products,Brazil,,,81 FR 64436, 9/20/2016,https://www.gpo.gov/fdsys/pkg/FR-2016-09-20/pdf/2016-22614.pdf,,,1
2016/10/3,,C-545,C-351-846,C,219,ISM,Hot-rolled carbon steel flat products,Brazil,,,81 FR 67960, 10/3/2016,https://www.gpo.gov/fdsys/pkg/FR-2016-10-03/pdf/2016-23835.pdf,,,1
2001/12/10,2011/12/1,C-402,C-357-813,C,100,AG,Honey,Argentina,,,77 FR 77029,12/31/2012,,,,0
2001/9/11,2007/11/20,C-404,C-357-815,C,93,ISM,Hot-rolled carbon steel flat products,Argentina,,,72 FR 62436, 11/5/2007,,,,0
2018/1/4,,C-571,C-357-821,C,241,CH,Biodiesel,Argentina,,,83 FR 522,  1/4/2018,https://www.gpo.gov/fdsys/pkg/FR-2018-01-04/pdf/2017-28480.pdf,,,1
2002/2/13,2006/7/7,C-412,C-412-821,C,,MM,Low-enriched uranium,United Kingdom,,,,,,,,0
2002/2/13,2006/7/7,C-411,C-421-809,C,,MM,Low-enriched uranium,Netherlands,,,,,,,,0
1999/5/11,2011/5/5,C-376,C-423-809,C,18,ISM,Stainless steel plate in coils,Belgium,,,76 FR 25666,  5/5/2011,,,,0
2002/2/13,2007/5/25,C-409,C-427-819,C,102,MM,Low enriched uranium,France,,,,,,,,0
2002/2/13,2006/7/7,C-410,C-428-829,C,,MM,Low-enriched uranium,Germany,,,,,,,,0
2002/11/8,2008/11/8,C-426,C-437-805,C,111,CH,Sulfanilic acid,Hungary,,,73 FR 7527,  2/8/2008,,,,0
2018/8/1,,C-582,C-469-818,C,273,AG,Ripe Olives,Spain,,,83 FR 37469,  8/1/2018,https://www.gpo.gov/fdsys/pkg/FR-2018-08-01/pdf/2018-16449.pdf,,,1
1994/6/7,2006/3/28,C-355,C-475-812,C,,ISM,Grain-oriented electrical steel,Italy,,,,,,,,0
1995/8/10,2006/12/26,C-364,C-475-817,C,91,ISP,Oil country tubular goods,Italy,,,,,,,,0
1996/7/24,2019/4/17,C-365,C-475-819,C,97,AG,Pasta,Italy,,,84 FR 16002, 4/17/2019,https://www.govinfo.gov/content/pkg/FR-2019-04-17/pdf/2019-07807.pdf,,,1
1999/5/11,2006/3/28,C-377,C-475-823,C,,ISM,Stainless steel plate in coils,Italy,,,,,,,,0
1999/8/6,2006/3/28,C-381,C-475-825,C,,ISM,Stainless steel sheet & strip in coils,Italy,,,,,,,,0
2000/2/10,2012/1/4,C-390,C-475-827,C,40,ISM,Carbon steel plate,Italy,,,77 FR 263,  1/4/2012,,,,0
2016/7/25,,C-535,C-475-833,C,215,ISM,Corrosion-Resistant Steel Products,India,,,81 FR 48387, 7/25/2016,https://www.gpo.gov/fdsys/pkg/FR-2016-07-25/pdf/2016-17563.pdf,,,1
2018/5/21,,C-573,C-475-837,C,243,ISM,Carbon and Alloy Steel Wire Rod ,Italy,,,83 FR 23420, 5/21/2018,https://www.gpo.gov/fdsys/pkg/FR-2018-05-21/pdf/2018-10880.pdf,,,1
1996/7/24,2019/4/17,C-366,C-489-806,C,97,AG,Pasta,Turkey,,,84 FR 16002, 4/17/2019,https://www.govinfo.gov/content/pkg/FR-2019-04-17/pdf/2019-07807.pdf,,,1
2014/9/10,,C-500,C-489-817,C,199,ISP,Oil Country Tubular Goods,Turkey,,,85 FR 48665, 8/12/2020,https://www.govinfo.gov/content/pkg/FR-2020-08-12/pdf/2020-17632.pdf,,,1
2014/11/6,,C-502,C-489-819,C,200,ISM,Steel Concrete Reinforcing Bar,Turkey,,,79 FR 68926, 11/6/2014,http://www.gpo.gov/fdsys/pkg/FR-2014-11-06/pdf/2014-26414.pdf,,,1
2015/12/1,,C-525,C-489-823,C,209,ISP,Welded Line Pipe,Turkey,,,80 FR 75054, 12/1/2015,http://www.gpo.gov/fdsys/pkg/FR-2015-12-01/pdf/2015-30503.pdf,,,1
2016/9/13,,C-539,C-489-825,C,217,ISP,Heavy Walled Rectangular Welded Carbon Steel Pipes and Tubes,Turkey,,,81 FR 62874, 9/13/2016,https://www.gpo.gov/fdsys/pkg/FR-2016-09-13/pdf/2016-22000.pdf,,,1
2017/7/14,,C-564,C-489-830,C,234,ISM,Steel Concrete Reinforcing Bar,Turkey,,,82 FR 32531, 7/14/2017,https://www.gpo.gov/fdsys/pkg/FR-2017-07-14/pdf/2017-14803.pdf,,,1
2018/5/21,,C-574,C-489-832,C,243,ISM,Carbon and Alloy Steel Wire Rod ,Turkey,,,83 FR 23420, 5/21/2018,https://www.gpo.gov/fdsys/pkg/FR-2018-05-21/pdf/2018-10880.pdf,,,1
2019/4/23,,C-596,C-489-834,C,249,ISP,Large Diameter Welded Pipe,Turkey,,,84 FR 18771, 4/23/2019,https://www.govinfo.gov/content/pkg/FR-2019-05-02/pdf/2019-08952.pdf,,,1
2020/6/15,,C-624,C-489-838,C,280,PRSG,Quartz Surface Products,India,,,85 FR 37431, 6/22/2020,https://www.govinfo.gov/content/pkg/FR-2020-06-22/pdf/2020-13374.pdf,,,1
2014/12/3,,C-506,C-507-997,C,202,ISM,Non-Oriented Electrical Steel,China,,,79 FR 71749, 12/3/2014,http://www.gpo.gov/fdsys/pkg/FR-2014-12-03/pdf/2014-28507.pdf,,,1
2010/5/4,2016/5/6,C-462,C-522-805,C,169,PRSG,Polyethylene Retail Carrier Bags,Vietnam,,,81 FR 27087,  5/5/2016,https://www.govinfo.gov/content/pkg/FR-2016-05-05/pdf/2016-10625.pdf,,,1
2018/10/5,,C-586,C-53-878,C,250,ISO,Stainless Steel Flanges,India,,,83 FR 50336, 10/5/2018,https://www.gpo.gov/fdsys/pkg/FR-2018-10-05/pdf/2018-21732.pdf,,,1
2000/2/10,2018/3/12,C-388,C-533-818,C,40,ISM,Carbon steel plate,India,,,83 FR 10672, 3/12/2018,https://www.gpo.gov/fdsys/pkg/FR-2018-03-12/pdf/2018-04846.pdf,,,1
2001/12/3,2014/2/7,C-405,C-533-821,C,93,ISM,Hot-rolled carbon steel flat products,India,,,79 FR 7425,  2/4/2014,http://www.gpo.gov/fdsys/pkg/FR-2014-02-07/pdf/2014-02696.pdf,,,1
2002/7/1,2014/8/6,C-415,C-533-825,C,108,CH,Polyethylene terephthalate (PET) film,India,,,79 FR 45762,  8/6/2014,http://www.gpo.gov/fdsys/pkg/FR-2014-08-06/pdf/2014-18599.pdf,,,1
2004/2/4,2015/4/23,C-432,C-533-829,C,125,ISO,Prestressed concrete steel wire strand,India,,,80 FR 22708, 4/23/2015,http://www.gpo.gov/fdsys/pkg/FR-2015-04-23/pdf/2015-09528.pdf,,,1
2004/12/29,2015/11/17,C-437,C-533-839,C,131,CH,Carbazole Violet Pigment 23,India,,,80 FR 71773,11/17/2015,http://www.gpo.gov/fdsys/pkg/FR-2015-11-17/pdf/2015-29361.pdf,,,1
2006/9/28,2018/3/6,C-442,C-533-844,C,141,AG,Lined paper,India ,,,83 FR 9479,  3/6/2018,https://www.gpo.gov/fdsys/pkg/FR-2018-03-06/pdf/2018-04501.pdf,,,1
2009/12/11,2015/4/30,C-459,C-533-849,C,167,CH,Commodity Matchbooks,India,,,84 FR 24232, 4/30/2015,http://www.gpo.gov/fdsys/pkg/FR-2015-04-30/pdf/2015-10133.pdf,,,1
2014/9/10,,C-499,C-533-858,C,199,ISP,Oil Country Tubular Goods,India,,,85 FR 48665, 8/12/2020,https://www.govinfo.gov/content/pkg/FR-2020-08-12/pdf/2020-17632.pdf,,,1
2016/5/6,,C-532,C-533-862,C,213,PRSG,Polyethylene Terephthalate Resin,India,,,81 FR 27978,  5/6/2016,https://www.gpo.gov/fdsys/pkg/FR-2016-05-06/pdf/2016-10761.pdf,,,1
2016/7/25,,C-537,C-533-864,C,215,ISM,Corrosion-Resistant Steel Products,Korea,,,81 FR 48387, 7/25/2016,https://www.gpo.gov/fdsys/pkg/FR-2016-07-25/pdf/2016-17563.pdf,,,1
2016/9/20,,C-542,C-533-866,C,218,ISM,Cold-Rolled Steel Flat Products,India,,,81 FR 64436, 9/20/2016,https://www.gpo.gov/fdsys/pkg/FR-2016-09-20/pdf/2016-22614.pdf,,,1
2016/11/17,,C-548,C-533-868,C,220,ISP,Welded Stainless Pressure Pipe,India,,,81 FR 81602,11/17/2016,https://www.gpo.gov/fdsys/pkg/FR-2016-11-17/pdf/2016-27846.pdf,,,1
2017/3/6,,C-552,C-533-870,C,225,PSRG,New Pneumatic Off-the-Road Tires,India,,,82 FR 12556,  3/6/2017,https://www.gpo.gov/fdsys/pkg/FR-2017-03-06/pdf/2017-04433.pdf,,,1
2017/8/24,,C-563,C-533-872,C,236,ISO,Finished Carbon Steel Flanges,India,,,82 FR 40138, 8/24/2017,https://www.gpo.gov/fdsys/pkg/FR-2017-08-24/pdf/2017-18057.pdf,,,1
2018/2/1,,C-577,C-533-874,C,251,ISP,Cold-Drawn Mechanical Tubing of Carbon and Alloy Steel,India,,,83 FR 4637,  2/1/2018,https://www.gpo.gov/fdsys/pkg/FR-2018-02-01/pdf/2018-02045.pdf,,,1
2019/2/28,,C-594,C-533-882,C,249,ISP,Large Diameter Welded Pipe,India,,,84 FR 8085, 2/28/2019,https://www.govinfo.gov/content/pkg/FR-2019-03-06/pdf/2019-04047.pdf,,,1
2019/6/18,,C-604,C-533-884,C,256,CH,Glycine,India ,,,84 FR 29173, 6/18/2019,https://www.govinfo.gov/content/pkg/FR-2019-06-21/pdf/2019-13361.pdf,,,1
2020/1/6,,C-613,C-533-886,C,272,TX,Polyester Textured Yarn,India ,,,85 FR 1301,  1/6/2020,https://www.govinfo.gov/content/pkg/FR-2020-01-10/pdf/2020-00245.pdf,,,1
2020/4/3,,C-619,C-533-888,C,274,ISO,Carbon and Alloy Steel Threaded Rod,India,,,85 FR 19927,  4/9/2020,https://www.govinfo.gov/content/pkg/FR-2020-04-09/pdf/2020-07483.pdf,,,1
2020/6/15,,C-625,C-533-890,C,280,PRSG,Quartz Surface Products,Turkey,,,85 FR 37431, 6/22/2020,https://www.govinfo.gov/content/pkg/FR-2020-06-22/pdf/2020-13374.pdf,,,1
2017/3/6,2018/7/21,C-553,C-542-801,C,225,PSRG,New Pneumatic Off-the-Road Tires,Sri Lanka,,,83 FR 35213, 7/25/2018,https://www.gpo.gov/fdsys/pkg/FR-2018-07-25/pdf/2018-15879.pdf,,,0
2001/12/3,2014/2/7,C-408,C-549-818,C,93,ISM,Hot-rolled carbon steel flat products,Thailand,,,79 FR 7425,  2/4/2014,http://www.gpo.gov/fdsys/pkg/FR-2014-02-07/pdf/2014-02696.pdf,,,1
2015/7/14,,C-519,C-552-819,C,206,ISO,Steel Nails,Vietnam,,,80 FR 41006, 7/14/2015,http://www.gpo.gov/fdsys/pkg/FR-2015-07-14/pdf/2015-17363.pdf,,,1
2019/5/28,,C-601,C-552-824,C,276,TX,Laminated Woven Sacks,Vietnam,,,84 FR 25753, 5/28/2019,https://www.govinfo.gov/content/pkg/FR-2019-06-04/pdf/2019-11579.pdf,,,1
2020/8/20,,C-629,C-552-826,C,282,ME,Utility Scale Wind Towers,Vietnam,,,85 FR 52543, 8/26/2020,https://www.govinfo.gov/content/pkg/FR-2020-08-26/pdf/2020-18793.pdf,,,1
2000/2/10,2018/3/12,C-389,C-560-806,C,40,ISM,Carbon steel plate,Indonesia,,,83 FR 10672, 3/12/2018,https://www.gpo.gov/fdsys/pkg/FR-2018-03-12/pdf/2018-04846.pdf,,,1
2001/12/3,2014/2/7,C-406,C-560-813,C,93,ISM,Hot-rolled carbon steel flat products,Indonesia,,,79 FR 7425,  2/4/2014,http://www.gpo.gov/fdsys/pkg/FR-2014-02-07/pdf/2014-02696.pdf,,,1
2006/9/28,2011/9/28,C-443,C-560-819,C,141,MSC,Certain lined paper,Indonesia,,,77 FR 53174, 8/31/2012,,,,0
2010/11/17,2017/1/9,C-471,C-560-824,C,179,AG,Coated Paper Suitable for High-Quality Print Graphics Using Sheet-Fed Presses,Indonesia,,,82 FR 1692,  1/6/2017,https://www.govinfo.gov/content/pkg/FR-2017-01-06/pdf/2017-00029.pdf,,,1
2016/3/3,,C-529,C-560-829,C,212,AG,Uncoated Paper,Indonesia,,,81 FR 11187,  3/3/2016,https://www.gpo.gov/fdsys/pkg/FR-2016-03-03/pdf/2016-04717.pdf,,,1
2018/1/4,,C-572,C-560-831,C,241,CH,Biodiesel,Indonesia,,,83 FR 522,  1/4/2018,https://www.gpo.gov/fdsys/pkg/FR-2018-01-04/pdf/2017-28480.pdf,,,1
2020/8/20,,C-628,C-560-834,C,282,ME,Utility Scale Wind Towers,Indonesia,,,85 FR 52543, 8/26/2020,https://www.govinfo.gov/content/pkg/FR-2020-08-26/pdf/2020-18793.pdf,,,1
2015/1/30,,C-510,C-570-009,C,204,CH,Calcium Hypochlorite,China,,,85 FR 39522,  7/1/2020,https://www.govinfo.gov/content/pkg/FR-2020-07-01/pdf/2020-14194.pdf,,,1
2015/2/18,,C-511,C-570-011,C,205,ME,Crystalline Silicon Photovoltaic Products,China,,,85 FR 56215, 9/11/2020,http://www.gpo.gov/fdsys/pkg/FR-2015-02-18/pdf/2015-03183.pdf,,,1
2015/1/8,,C-512,C-570-013,C,203,ISM,Carbon and Certain Alloy Steel Wire,China,,,80 FR 1018,  1/8/2015,http://www.gpo.gov/fdsys/pkg/FR-2015-01-08/pdf/2015-00095.pdf,,,1
2015/8/10,,C-522,C-570-017,C,207,PRSG,Passenger Vehicle and Light Truck Tires,China,,,80 FR 47902, 8/10/2015,https://www.gpo.gov/fdsys/pkg/FR-2015-08-10/pdf/2015-19615.pdf,,,1
2015/10/21,,C-523,C-570-019,C,208,MSC,Boltless Steel Shelving Units Prepackaged for Sale,China,,,80 FR 63745,10/21/2015,http://www.gpo.gov/fdsys/pkg/FR-2015-10-21/pdf/2015-26764.pdf,,,1
2015/12/28,,C-526,C-570-021,C,210,CH,Melamine,China,,,80 FR 80751,12/28/2015,https://www.gpo.gov/fdsys/pkg/FR-2015-12-28/pdf/2015-32632.pdf,,,1
2016/3/3,,C-528,C-570-023,C,212,AG,Uncoated Paper,China,,,81 FR 11187,  3/3/2016,https://www.gpo.gov/fdsys/pkg/FR-2016-03-03/pdf/2016-04717.pdf,,,1
2016/5/6,,C-531,C-570-025,C,213,PRSG,Polyethylene Terephthalate Resin,China,,,81 FR 27978,  5/6/2016,https://www.gpo.gov/fdsys/pkg/FR-2016-05-06/pdf/2016-10761.pdf,,,1
2016/7/25,,C-536,C-570-027,C,215,ISM,Corrosion-Resistant Steel Products,Italy,,,81 FR 48387, 7/25/2016,https://www.gpo.gov/fdsys/pkg/FR-2016-07-25/pdf/2016-17563.pdf,,,1
2016/7/14,,C-541,C-570-030,C,214,ISM,Cold-Rolled Steel Flat Products,China,,,81 FR 45960, 7/14/2016,https://www.gpo.gov/fdsys/pkg/FR-2016-07-14/pdf/2016-16794.pdf,,,1
2017/3/3,,C-554,C-570-037,C,224,CH,Biaxial Integral Geogrid Products,China,,,82 FR 12437,  3/3/2017,https://www.gpo.gov/fdsys/pkg/FR-2017-03-03/pdf/2017-04132.pdf,,,1
2017/3/17,,C-555,C-570-039,C,227,PRSGC,Amorphous Silica Fabric,China,,,82 FR 14316, 3/17/2017,https://www.gpo.gov/fdsys/pkg/FR-2017-03-17/pdf/2017-05432.pdf,,,1
2019/2/12,,C-556,C-570-041,C,258,PRSG,Truck and Bus Tires,China,,,84 FR 4434, 2/15/2019,https://www.govinfo.gov/content/pkg/FR-2019-02-15/pdf/2019-02657.pdf,,,1
2017/4/3,,C-557,C-570-043,C,228,ISM,Stainless Steel Sheet and Strip,China,,,82 FR 16166,  4/3/2017,https://www.gpo.gov/fdsys/pkg/FR-2017-04-03/pdf/2017-06489.pdf,,,1
2017/5/18,,C-558,C-570-046,C,232,CH,"1-Hydroxyethylidene-1, 1-Diphosphonic Acid (HEDP)",China,,,82 FR 22809, 5/18/2017,https://www.gpo.gov/fdsys/pkg/FR-2017-05-18/pdf/2017-10079.pdf,,,1
2017/3/20,,C-560,C-570-048,C,222,ISM,Carbon and Alloy Steel Cut-to-Length Plate,China,,,82 FR 14346, 3/20/2017,https://www.gpo.gov/fdsys/pkg/FR-2017-03-20/pdf/2017-05441.pdf,,,1
2017/3/9,,C-562,C-570-050,C,226,CH,Ammonium Sulfate,China,,,82 FR 13094,  3/9/2017,https://www.govinfo.gov/content/pkg/FR-2017-03-09/pdf/2017-04753.pdf,,,1
2018/1/4,,C-565,C-570-052,C,242,AG,Hardwood Plywood Products,China,,,83 FR 513,  1/4/2018,https://www.gpo.gov/fdsys/pkg/FR-2018-01-04/pdf/2017-28481.pdf,,,1
2018/4/19,,C-570,C-570-054,C,245,MM,Aluminum Foil,China,,,83 FR 17360, 4/19/2018,https://www.gpo.gov/fdsys/pkg/FR-2018-04-19/pdf/2018-08116.pdf,,,1
2018/1/24,,C-575,C-570-057,C,249,MSC,Tool Chests and Cabinets,China,,,83 FR 3299, 1/24/2018,https://www.gpo.gov/fdsys/pkg/FR-2018-01-24/pdf/2018-01351.pdf,,,1
2018/2/1,,C-576,C-570-059,C,251,ISP,Cold-Drawn Mechanical Tubing of Carbon and Alloy Steel,China,,,83 FR 4637,  2/1/2018,https://www.gpo.gov/fdsys/pkg/FR-2018-02-01/pdf/2018-02045.pdf,,,1
2018/3/16,,C-579,C-570-061,C,244,TX,Fine Denier Polyester Staple Fiber,China,,,83 FR 11681, 3/16/2018,https://www.gpo.gov/fdsys/pkg/FR-2018-03-16/pdf/2018-05371.pdf,,,1
2018/8/31,,C-583,C-570-063,C,252,ISO,Cast Iron Soil Pipe Fittings,China,,,83 FR 44566, 8/31/2018,https://www.gpo.gov/fdsys/pkg/FR-2018-08-31/pdf/2018-19095.pdf,,,1
2018/6/5,,C-585,C-570-065,C,250,ISO,Stainless Steel Flanges,China,,,83 FR 26006,  6/5/2018,https://www.gpo.gov/fdsys/pkg/FR-2018-06-05/pdf/2018-11908.pdf,,,1
2018/11/26,,C-589,C-570-068,C,253,ISO,Forged Steel Fittings,China,,,83 FR 60396,11/26/2018,https://www.gpo.gov/fdsys/pkg/FR-2018-11-26/pdf/2018-25704.pdf,,,1
2019/2/13,,C-598,C-570-070,C,264,PRSG,Rubber Bands,China,,,84 FR 4774, 2/19/2019,https://www.govinfo.gov/content/pkg/FR-2019-02-19/pdf/2019-02783.pdf,,,1
2018/11/13,,C-590,C-570-072,C,255,CH,Sodium Gluconate,China,,,83 FR 56299,11/13/2018,https://www.gpo.gov/fdsys/pkg/FR-2018-11-13/pdf/2018-24705.pdf,,,1
2019/1/31,,C-591,C-570-074,C,277,MM,Common Alloy Aluminum Sheet,China,,,84 FR 2157,  2/6/2019,https://www.govinfo.gov/content/pkg/FR-2019-02-06/pdf/2019-01273.pdf,,,1
2019/3/19,,C-592,C-570-076,C,250,PRSG,Plastic Decorative Ribbon,China,,,84 FR 10786, 3/22/2019,https://www.govinfo.gov/content/pkg/FR-2019-03-22/pdf/2019-05520.pdf,,,1
2019/2/28,,C-593,C-570-078,C,249,ISP,Large Diameter Welded Pipe,China,,,84 FR 8075,  3/6/2019,https://www.govinfo.gov/content/pkg/FR-2019-03-06/pdf/2019-04049.pdf,,,1
2019/4/26,,C-597,C-570-080,C,259,ISP,Cast Iron Soil Pipe,China,,,84 FR 19039,  5/3/2019,https://www.govinfo.gov/content/pkg/FR-2019-05-03/pdf/2019-09067.pdf,,,1
2019/6/18,,C-603,C-570-081,C,256,CH,Glycine,China ,,,84 FR 29173, 6/21/2019,https://www.govinfo.gov/content/pkg/FR-2019-06-21/pdf/2019-13361.pdf,,,1
2019/5/21,,C-602,C-570-083,C,254,TR,Steel Wheels,China,,,84 FR 24098, 5/24/2019,https://www.govinfo.gov/content/pkg/FR-2019-05-24/pdf/2019-11015.pdf,,,1
2019/7/8,,C-606,C-570-085,C,257,PRSGC,Quartz ,China,,,84 FR 33053 ,8-Jul-19,https://www.govinfo.gov/content/pkg/FR-2019-07-11/pdf/2019-14865.pdf,,,1
2019/8/7,,C-607,C-570-087,C,260,ISO,Steel Propane Cylinders,China,,,84 FR 41700 ,15-Aug-19,https://www.govinfo.gov/content/pkg/FR-2019-08-15/pdf/2019-17313.pdf,,,1
2019/8/23,,C-609,C-570-091,C,262,TR,Steel Trailer Wheels,China,,,84 FR 45952,  9/3/2019,https://www.govinfo.gov/content/pkg/FR-2019-09-03/pdf/2019-18937.pdf,,,1
2019/12/11,,C-610,C-570-094,C,268,ISO,Refillable Stainless Steel Kegs,China,,,84 FR 68400,12/16/2019,https://www.govinfo.gov/content/pkg/FR-2019-12-16/pdf/2019-27129.pdf,,,1
2019/12/17,,C-611,C-570-096,C,271,MM,Aluminum Wire and Cable ,China,,,84 FR 70496 ,23-Dec-19,https://www.govinfo.gov/content/pkg/FR-2019-12-23/pdf/2019-27641.pdf,,,1
2020/4/3,,C-618,C-570-105,C,274,ISO,Carbon and Alloy Steel Threaded Rod,China,,,85 FR 19927,  4/9/2020,https://www.govinfo.gov/content/pkg/FR-2020-04-09/pdf/2020-07483.pdf,,,1
2020/4/13,,C-620,C-570-107,C,278,MSC,Wooden Cabinets and Vanities,China,,,85 FR 22134, 4/21/2020,https://www.govinfo.gov/content/pkg/FR-2020-04-21/pdf/2020-08546.pdf,,,1
2020/5/26,,C-621,C-570-109,C,279,MSC,Ceramic Tile,China,,,85 FR 33119,  6/1/2020,https://www.govinfo.gov/content/pkg/FR-2020-06-01/pdf/2020-11722.pdf,,,1
2019/12/5,,C-623,C-570-111,C,267,MSC,Vertical Metal File Cabinets,China,,,84 FR 68121,13-Dec-19,https://www.govinfo.gov/content/pkg/FR-2019-12-13/pdf/2019-27028.pdf,,,1
2020/7/14,,C-626,C-570-113,C,281,MSC,Certain Collated Steel Staples,China,,,85 FR 43813, 7/20/2020,https://www.govinfo.gov/content/pkg/FR-2020-07-20/pdf/2020-15623.pdf,,,1
2008/9/4,2019/2/4,C-448,C-570-913,C,151,PRSG,New Pneumatic Off-the-Road Tires,China,,,84 FR 20616, 5/10/2019,https://www.govinfo.gov/content/pkg/FR-2019-05-10/pdf/2019-09670.pdf,,,0
2008/8/5,2014/6/23,C-449,C-570-915,C,146,ISP,Light-walled rectangular pipe and tube,China,,,85 FR 47169,  8/4/2020,https://www.govinfo.gov/content/pkg/FR-2020-08-04/pdf/2020-16871.pdf,,,1
2008/8/7,2014/3/26,C-450,C-570-917,C,149,TX,Laminated woven sacks,China,,,84 FR 45128, 8/28/2019,https://www.govinfo.gov/content/pkg/FR-2019-08-28/pdf/2019-18598.pdf,,,1
2008/11/24,2015/1/30,C-451,C-570-921,C,156,AG,Lightweight thermal paper,China,,,85 FR 40249,  7/6/2020,https://www.govinfo.gov/content/pkg/FR-2020-07-06/pdf/2020-14437.pdf,,,1
2008/9/17,2019/7/23,C-452,C-570-923,C,152,ME,Raw flexible magnets,China,,,79 FR 6886, 7/23/2019,https://www.govinfo.gov/content/pkg/FR-2019-07-23/pdf/2019-15618.pdf,,,1
2009/3/19,2014/8/2,C-454,C-570-931,C,160,ISP,Circular welded austenitic stainless pressure pipe,China,,,84 FR 66883, 12/2/2019,https://www.govinfo.gov/content/pkg/FR-2019-12-06/pdf/2019-26359.pdf,,,1
2009/1/23,2014/5/20,C-455,C-570-936,C,158,ISP,Circular welded carbon quality steel line pipe,China,,,84 FR 52456, 9/25/2019,http://www.gpo.gov/fdsys/pkg/FR-2014-05-20/pdf/2014-11682.pdf,,,1
2009/5/29,2015/6/24,C-456,C-570-938,C,164,CH,Citric acid and certain citrate,China,,,80 FR 36318, 6/24/2015,https://www.govinfo.gov/content/pkg/FR-2015-06-24/pdf/2015-15399.pdf,,,1
2009/8/3,2014/9/23,C-457,C-570-940,C,165,MSC,Tow Behind Lawn Groomer,China,,,79 FR 56769, 9/23/2014,http://www.gpo.gov/fdsys/pkg/FR-2014-09-23/pdf/2014-22631.pdf,,,0
2009/9/14,2020/10/15,C-458,C-570-942,C,166,ME,Kitchen Appliance Shelving and Racks,China,,,85 FR 65345,10/15/2020,https://www.govinfo.gov/content/pkg/FR-2020-10-15/pdf/2020-22807.pdf,,,1
2010/1/20,2015/5/18,C-463,C-570-944,C,168,ISP,Oil Country Tubular Goods,China,,,80 FR 28224, 5/18/2015,http://www.gpo.gov/fdsys/pkg/FR-2015-05-18/pdf/2015-11981.pdf,,,1
2010/7/7,2015/10/13,C-464,C-570-946,C,171,ISO,Prestressed Concrete Steel Wire Strand,China,,,80 FR 61372,10/13/2015,http://www.gpo.gov/fdsys/pkg/FR-2015-10-13/pdf/2015-25978.pdf,,,1
2010/7/23,2015/11/12,C-465,C-570-948,C,173,ISO,Steel Grating,China,,,80 FR 69940,11/12/2015,http://www.gpo.gov/fdsys/pkg/FR-2015-11-12/pdf/2015-28755.pdf,,,1
2010/9/1,2016/9/22,C-467,C-570-953,C,175,TX,Narrow Woven Ribbons With Woven Selvedge,China,,,81 FR 65341, 9/22/2016,https://www.gpo.gov/fdsys/pkg/FR-2016-09-22/pdf/2016-22888.pdf,,,1
2010/9/21,2016/2/12,C-468,C-570-955,C,176,PRSGC,Magnesia Carbon Bricks,China,,,81 FR 7502, 2/12/2016,https://www.gpo.gov/fdsys/pkg/FR-2016-02-12/pdf/2016-02994.pdf,,,1
2010/11/10,2016/3/16,C-469,C-570-957,C,178,ISP,"Seamless Carbon and Alloy Steel Standard, Line, and Pressure Pipe",China,,,81 FR 14089, 3/16/2016,https://www.gpo.gov/fdsys/pkg/FR-2016-03-16/pdf/2016-05941.pdf,,,1
